City,Temperature_C,Temperature_Min_C,Temperature_Max_C,Weather_description,Humidity_%,Wind_speed_m/s,Time
Palermo,7.54,7.54,7.54,broken clouds,88,2.19,2025-01-22 07:59:11
Catania,10.57,9.0,10.74,broken clouds,81,0.74,2025-01-22 07:59:11
Cagliari,11.18,10.88,11.62,clear sky,76,3.6,2025-01-22 07:59:11
Sassari,10.88,10.88,10.88,scattered clouds,77,3.68,2025-01-22 07:59:11
Bari,6.77,6.77,7.92,clear sky,83,2.23,2025-01-22 07:59:11
Lecce,4.94,4.94,7.7,mist,93,0.51,2025-01-22 07:59:11
Naples,8.25,6.34,10.13,broken clouds,90,0.51,2025-01-22 07:59:11
Rome,6.43,5.06,9.29,scattered clouds,95,1.54,2025-01-22 07:59:11
Milan,6.19,5.08,6.75,mist,93,1.54,2025-01-22 07:59:11
Bologna,4.32,3.82,4.85,mist,95,1.54,2025-01-22 07:59:11
Florence,7.4,5.75,9.0,mist,93,1.03,2025-01-22 07:59:11
Genova,5.3,3.69,6.72,overcast clouds,89,1.76,2025-01-22 07:59:11
Turin,0.28,-0.65,2.62,light snow,94,0.51,2025-01-22 07:59:11
Palermo,7.54,7.54,7.54,broken clouds,88,2.19,2025-01-22 08:00:05
Catania,10.57,9.0,10.74,broken clouds,81,0.74,2025-01-22 08:00:05
Cagliari,11.18,10.88,11.62,clear sky,76,3.6,2025-01-22 08:00:05
Sassari,10.88,10.88,10.88,scattered clouds,77,3.68,2025-01-22 08:00:05
Bari,6.77,6.77,7.92,clear sky,83,2.23,2025-01-22 08:00:05
Lecce,4.94,4.94,7.7,mist,93,0.51,2025-01-22 08:00:05
Naples,8.25,6.34,10.33,broken clouds,90,0.51,2025-01-22 08:00:05
Rome,6.43,5.06,9.29,scattered clouds,95,1.54,2025-01-22 08:00:05
Milan,6.19,5.08,6.75,mist,93,1.54,2025-01-22 08:00:05
Bologna,4.32,3.82,4.85,mist,95,1.54,2025-01-22 08:00:05
Florence,7.4,5.75,9.0,mist,93,1.03,2025-01-22 08:00:05
Genova,5.3,3.69,6.72,overcast clouds,89,1.76,2025-01-22 08:00:05
Turin,0.28,-0.65,2.62,light snow,94,0.51,2025-01-22 08:00:05
