City,Temperature_C,Temperature_Min_C,Temperature_Max_C,Weather_description,Humidity_%,Wind_speed_m/s,Time
Palermo,9.21,9.21,9.21,clear sky,92,1.24,2025-02-19 08:00:05
Catania,11.9,10.41,12.88,broken clouds,91,2.57,2025-02-19 08:00:05
Cagliari,10.37,8.05,11.62,mist,81,1.54,2025-02-19 08:00:05
Sassari,3.88,3.88,12.15,overcast clouds,75,1.96,2025-02-19 08:00:05
Bari,8.41,8.19,9.03,broken clouds,82,4.12,2025-02-19 08:00:05
Lecce,7.94,7.94,8.25,scattered clouds,93,3.6,2025-02-19 08:00:05
Naples,9.28,8.9,10.33,broken clouds,76,2.06,2025-02-19 08:00:05
Rome,8.99,8.06,10.05,broken clouds,87,1.54,2025-02-19 08:00:05
Milan,3.0,2.31,3.34,broken clouds,71,2.24,2025-02-19 08:00:05
Bologna,2.24,1.81,2.25,broken clouds,80,1.54,2025-02-19 08:00:05
Florence,6.41,4.64,6.82,broken clouds,66,2.57,2025-02-19 08:00:05
Genova,1.51,0.03,2.93,overcast clouds,67,4.47,2025-02-19 08:00:05
Turin,-1.39,-1.82,0.4,light snow,83,0.99,2025-02-19 08:00:05
Palermo,9.76,4.89,9.76,clear sky,91,1.24,2025-02-19 08:15:02
Catania,12.18,11.04,12.4,broken clouds,89,1.03,2025-02-19 08:15:02
Cagliari,10.83,9.88,12.17,few clouds,79,0.51,2025-02-19 08:15:02
Sassari,3.88,3.88,3.88,overcast clouds,75,1.96,2025-02-19 08:15:02
Bari,8.47,8.19,9.59,broken clouds,81,3.09,2025-02-19 08:15:02
Lecce,8.25,8.25,8.25,overcast clouds,87,3.88,2025-02-19 08:15:02
Naples,9.39,9.34,10.06,broken clouds,74,2.57,2025-02-19 08:15:02
Rome,9.04,8.06,10.47,broken clouds,87,1.03,2025-02-19 08:15:02
Milan,3.0,2.31,3.34,broken clouds,71,2.57,2025-02-19 08:15:02
Bologna,2.47,1.85,2.81,broken clouds,80,1.03,2025-02-19 08:15:02
Florence,6.19,4.15,6.82,broken clouds,69,0.51,2025-02-19 08:15:02
Genova,1.52,0.03,2.93,overcast clouds,66,5.36,2025-02-19 08:15:02
Turin,-1.38,-1.82,0.4,light snow,83,0.99,2025-02-19 08:15:02
Palermo,9.76,7.67,9.76,clear sky,89,1.24,2025-02-19 08:30:02
Catania,11.5,10.41,12.4,broken clouds,93,1.03,2025-02-19 08:30:02
Cagliari,11.13,9.05,12.17,few clouds,80,1.54,2025-02-19 08:30:02
Sassari,3.88,3.88,3.88,overcast clouds,75,1.96,2025-02-19 08:30:02
Bari,8.68,8.19,9.47,broken clouds,81,3.09,2025-02-19 08:30:02
Lecce,7.94,7.94,8.81,light intensity drizzle,100,4.12,2025-02-19 08:30:02
Naples,9.61,8.9,10.06,broken clouds,76,2.57,2025-02-19 08:30:02
Rome,8.03,7.4,10.47,few clouds,87,1.54,2025-02-19 08:30:02
