City,Temperature_C,Temperature_Min_C,Temperature_Max_C,Weather_description,Humidity_%,Wind_speed_m/s,Time
Palermo,11.43,11.43,13.22,clear sky,73,1.47,2025-02-04 10:30:02
Catania,13.79,11.88,15.74,clear sky,68,2.06,2025-02-04 10:30:02
Cagliari,11.28,8.88,13.28,clear sky,78,2.57,2025-02-04 10:30:02
Sassari,8.88,8.88,8.88,few clouds,61,1.42,2025-02-04 10:30:02
Bari,10.27,10.1,10.59,clear sky,78,4.02,2025-02-04 10:30:02
Lecce,12.94,12.7,12.94,few clouds,76,6.69,2025-02-04 10:30:02
Naples,12.47,12.34,12.91,clear sky,60,3.09,2025-02-04 10:30:02
Rome,7.74,7.06,11.72,clear sky,77,3.6,2025-02-04 10:30:02
Milan,5.82,4.25,8.3,clear sky,79,2.24,2025-02-04 10:30:02
Bologna,6.09,4.85,6.14,clear sky,84,1.54,2025-02-04 10:30:02
Florence,7.74,6.82,10.05,clear sky,70,0.51,2025-02-04 10:30:02
Genova,5.84,4.8,7.25,clear sky,71,0.89,2025-02-04 10:30:02
Turin,3.09,0.37,7.15,clear sky,61,0.52,2025-02-04 10:30:02
Palermo,11.99,11.99,13.22,clear sky,78,1.47,2025-02-04 10:45:02
Catania,14.09,13.18,15.18,clear sky,64,2.57,2025-02-04 10:45:02
Cagliari,12.11,10.88,13.84,clear sky,75,3.09,2025-02-04 10:45:02
Sassari,10.88,10.88,10.88,few clouds,61,1.42,2025-02-04 10:45:02
Bari,10.6,10.14,11.19,clear sky,76,4.12,2025-02-04 10:45:02
Lecce,12.94,12.7,12.94,few clouds,76,6.69,2025-02-04 10:45:02
Naples,13.37,13.34,13.47,clear sky,57,3.6,2025-02-04 10:45:02
Rome,10.59,8.06,13.73,scattered clouds,76,3.6,2025-02-04 10:45:02
Milan,6.51,6.19,7.43,clear sky,73,2.68,2025-02-04 10:45:02
Bologna,6.38,5.49,7.58,clear sky,84,1.54,2025-02-04 10:45:02
Florence,9.68,9.29,10.05,clear sky,67,1.88,2025-02-04 10:45:02
Genova,6.43,5.35,7.93,clear sky,68,1.34,2025-02-04 10:45:02
