City,Temperature_C,Temperature_Min_C,Temperature_Max_C,Weather_description,Humidity_%,Wind_speed_m/s,Time
Palermo,8.65,8.65,8.65,overcast clouds,93,3.12,2025-02-26 07:30:31
Catania,12.25,10.3,13.04,scattered clouds,79,1.34,2025-02-26 07:30:31
Cagliari,12.25,11.88,13.05,scattered clouds,79,4.63,2025-02-26 07:30:31
Sassari,10.88,9.38,10.88,overcast clouds,78,4.47,2025-02-26 07:30:31
Bari,10.62,10.19,11.7,few clouds,81,4.12,2025-02-26 07:30:31
Lecce,9.94,9.94,12.7,few clouds,100,2.06,2025-02-26 07:30:31
Naples,13.6,10.89,14.34,light rain,86,3.09,2025-02-26 07:30:31
Rome,11.07,10.83,12.36,broken clouds,94,2.75,2025-02-26 07:30:31
Milan,8.73,7.77,9.09,mist,92,1.03,2025-02-26 07:30:31
Bologna,8.91,8.47,8.92,moderate rain,97,1.03,2025-02-26 07:30:31
Florence,11.5,10.75,11.82,light rain,93,2.57,2025-02-26 07:30:31
Genova,6.64,5.76,8.07,overcast clouds,88,4.02,2025-02-26 07:30:31
Turin,1.36,0.92,3.8,clear sky,92,4.39,2025-02-26 07:30:31
Palermo,9.21,9.21,9.21,overcast clouds,93,3.03,2025-02-26 07:45:06
Catania,12.27,10.3,13.6,clear sky,80,5.14,2025-02-26 07:45:06
Cagliari,12.25,11.88,13.05,scattered clouds,79,4.12,2025-02-26 07:45:06
Sassari,10.88,9.38,10.88,overcast clouds,78,4.47,2025-02-26 07:45:06
Bari,10.85,10.19,11.04,few clouds,80,3.6,2025-02-26 07:45:06
Lecce,9.94,9.94,13.25,few clouds,100,2.06,2025-02-26 07:45:06
Naples,13.2,10.89,13.75,heavy intensity rain,88,3.6,2025-02-26 07:45:06
Rome,11.07,10.83,12.7,broken clouds,94,2.75,2025-02-26 07:45:06
Milan,8.78,7.21,9.32,mist,92,1.03,2025-02-26 07:45:06
Bologna,8.91,8.47,8.92,mist,97,1.03,2025-02-26 07:45:06
Florence,11.5,10.75,11.82,moderate rain,90,2.57,2025-02-26 07:45:06
Genova,6.76,5.8,8.32,overcast clouds,87,2.24,2025-02-26 07:45:06
Turin,1.62,0.96,3.24,clear sky,92,4.39,2025-02-26 07:45:06
Palermo,9.21,9.21,9.21,overcast clouds,93,3.03,2025-02-26 08:00:05
Catania,12.29,10.3,13.6,clear sky,79,5.14,2025-02-26 08:00:05
Cagliari,12.25,11.88,13.05,scattered clouds,79,4.12,2025-02-26 08:00:05
Sassari,10.88,9.93,10.88,overcast clouds,78,4.47,2025-02-26 08:00:05
Bari,10.85,10.19,11.04,few clouds,80,3.6,2025-02-26 08:00:05
Lecce,9.94,9.94,13.25,few clouds,100,2.06,2025-02-26 08:00:05
Naples,12.74,10.9,13.75,heavy intensity rain,88,4.02,2025-02-26 08:00:05
Rome,11.06,10.8,12.7,light rain,94,2.75,2025-02-26 08:00:05
Milan,8.91,7.21,9.37,mist,92,1.03,2025-02-26 08:00:05
Bologna,8.91,8.47,8.92,moderate rain,97,1.03,2025-02-26 08:00:05
Florence,11.5,10.75,11.82,moderate rain,90,2.57,2025-02-26 08:00:05
Genova,7.03,5.8,8.39,overcast clouds,87,2.68,2025-02-26 08:00:05
Turin,1.28,0.17,3.24,clear sky,91,4.39,2025-02-26 08:00:05
Palermo,9.76,9.76,9.76,overcast clouds,92,3.03,2025-02-26 08:15:09
