City,Temperature_C,Temperature_Min_C,Temperature_Max_C,Weather_description,Humidity_%,Wind_speed_m/s,Time
Palermo,9.21,9.21,11.56,scattered clouds,84,0.97,2025-03-20 08:30:22
Catania,12.09,10.88,12.96,few clouds,76,1.54,2025-03-20 08:30:22
Cagliari,15.22,14.88,15.51,broken clouds,74,8.23,2025-03-20 08:30:22
Sassari,8.88,8.88,8.88,clear sky,78,2.99,2025-03-20 08:30:22
Bari,9.38,8.19,9.93,clear sky,70,1.03,2025-03-20 08:30:22
Lecce,5.94,5.94,9.36,few clouds,100,0.0,2025-03-20 08:30:22
Naples,9.55,8.34,10.69,clear sky,65,1.03,2025-03-20 08:30:22
Rome,6.47,5.8,11.16,clear sky,96,1.54,2025-03-20 08:30:22
Milan,6.89,4.82,8.41,clear sky,79,1.03,2025-03-20 08:30:22
Bologna,7.01,4.78,8.35,clear sky,66,3.09,2025-03-20 08:30:22
Florence,6.18,4.82,9.5,clear sky,75,0.51,2025-03-20 08:30:22
Genova,6.58,3.13,7.81,scattered clouds,59,2.24,2025-03-20 08:30:22
Turin,2.58,0.46,3.73,few clouds,79,0.82,2025-03-20 08:30:22
Palermo,10.32,10.32,11.56,scattered clouds,83,0.69,2025-03-20 08:45:10
Catania,13.28,12.4,13.51,few clouds,71,0.51,2025-03-20 08:45:10
Cagliari,15.22,14.88,15.51,broken clouds,74,8.23,2025-03-20 08:45:10
Sassari,10.88,10.88,17.71,clear sky,69,2.92,2025-03-20 08:45:10
Bari,10.24,9.54,10.75,clear sky,67,1.03,2025-03-20 08:45:10
Lecce,5.94,5.94,9.92,few clouds,100,0.0,2025-03-20 08:45:10
Naples,10.44,9.34,12.64,clear sky,61,2.06,2025-03-20 08:45:10
Rome,8.34,7.74,12.52,clear sky,82,1.54,2025-03-20 08:45:10
Milan,7.17,5.82,8.54,clear sky,78,1.54,2025-03-20 08:45:10
Bologna,8.03,6.45,8.91,clear sky,64,2.06,2025-03-20 08:45:10
Florence,8.32,7.07,9.5,clear sky,73,0.14,2025-03-20 08:45:10
Genova,7.41,5.79,8.02,scattered clouds,63,0.72,2025-03-20 08:45:10
Turin,3.79,2.45,6.59,few clouds,75,1.14,2025-03-20 08:45:10
Palermo,10.32,10.32,11.56,scattered clouds,81,0.69,2025-03-20 09:00:03
Catania,13.57,12.88,14.15,few clouds,69,0.51,2025-03-20 09:00:03
Cagliari,15.52,14.88,16.06,broken clouds,74,8.23,2025-03-20 09:00:03
Sassari,10.88,10.88,17.71,clear sky,69,2.92,2025-03-20 09:00:03
Bari,10.38,9.47,10.75,clear sky,67,1.03,2025-03-20 09:00:03
Lecce,5.94,5.94,11.03,few clouds,100,0.0,2025-03-20 09:00:03
