City,Temperature_C,Temperature_Min_C,Temperature_Max_C,Weather_description,Humidity_%,Wind_speed_m/s,Time
Palermo,9.21,9.21,9.21,few clouds,86,0.54,2025-04-03 06:45:02
Catania,10.98,9.0,11.29,clear sky,81,0.45,2025-04-03 06:45:02
Cagliari,10.08,6.88,12.73,clear sky,79,2.06,2025-04-03 06:45:02
Sassari,5.88,5.88,9.93,few clouds,77,2.75,2025-04-03 06:45:02
Bari,10.94,10.19,11.7,clear sky,81,3.09,2025-04-03 06:45:02
Lecce,7.94,7.94,10.48,clear sky,93,1.03,2025-04-03 06:45:02
Naples,10.39,10.06,12.0,clear sky,78,1.03,2025-04-03 06:45:02
Rome,9.86,9.4,11.8,clear sky,84,2.06,2025-04-03 06:45:02
Milan,8.48,7.1,10.01,clear sky,90,1.03,2025-04-03 06:45:02
Bologna,8.8,8.26,8.92,clear sky,84,1.65,2025-04-03 06:45:02
Florence,6.42,5.82,8.18,clear sky,81,1.03,2025-04-03 06:45:02
Genova,7.39,6.16,8.76,broken clouds,64,1.34,2025-04-03 06:45:02
Turin,4.47,3.96,7.06,overcast clouds,89,3.58,2025-04-03 06:45:02
Palermo,9.21,9.21,9.21,few clouds,87,0.54,2025-04-03 07:00:08
Catania,10.98,9.0,11.29,clear sky,82,0.45,2025-04-03 07:00:08
Cagliari,10.08,6.88,12.73,clear sky,79,2.06,2025-04-03 07:00:08
Sassari,5.88,5.88,9.93,few clouds,77,2.75,2025-04-03 07:00:08
Bari,10.94,10.19,11.7,clear sky,81,3.09,2025-04-03 07:00:08
Lecce,7.94,7.94,11.03,clear sky,93,1.03,2025-04-03 07:00:08
Naples,10.39,10.06,12.0,clear sky,78,1.03,2025-04-03 07:00:08
Rome,10.14,9.4,12.52,clear sky,84,2.06,2025-04-03 07:00:08
Milan,8.48,7.1,10.01,clear sky,90,1.03,2025-04-03 07:00:08
Bologna,8.56,8.11,8.92,clear sky,84,1.65,2025-04-03 07:00:08
Florence,6.42,5.82,8.18,clear sky,81,1.03,2025-04-03 07:00:08
Genova,7.26,5.6,8.76,broken clouds,65,1.34,2025-04-03 07:00:08
Turin,4.43,3.96,7.06,overcast clouds,89,3.58,2025-04-03 07:00:08
Palermo,8.65,8.65,8.65,few clouds,86,0.54,2025-04-03 07:15:03
Catania,11.32,10.18,11.38,clear sky,78,0.45,2025-04-03 07:15:03
Cagliari,12.73,12.71,12.73,few clouds,64,1.02,2025-04-03 07:15:03
Sassari,5.88,5.88,10.49,few clouds,79,2.75,2025-04-03 07:15:03
Bari,11.08,10.19,11.7,clear sky,81,0.45,2025-04-03 07:15:03
Lecce,11.03,11.03,11.03,few clouds,87,2.76,2025-04-03 07:15:03
Naples,10.67,9.51,12.0,clear sky,76,2.06,2025-04-03 07:15:03
Rome,10.08,9.4,11.96,scattered clouds,84,1.54,2025-04-03 07:15:03
Milan,8.28,6.82,10.01,clear sky,92,1.03,2025-04-03 07:15:03
Bologna,8.19,6.85,8.36,clear sky,85,1.54,2025-04-03 07:15:03
Florence,6.42,5.82,8.18,clear sky,81,1.54,2025-04-03 07:15:03
Genova,7.39,6.16,9.24,broken clouds,65,0.45,2025-04-03 07:15:03
Turin,4.36,3.96,7.06,overcast clouds,89,3.58,2025-04-03 07:15:03
Palermo,9.76,9.76,9.76,few clouds,87,0.54,2025-04-03 07:30:02
Catania,11.22,8.0,11.29,clear sky,80,0.76,2025-04-03 07:30:02
Cagliari,10.08,6.88,12.73,clear sky,79,2.57,2025-04-03 07:30:02
Sassari,5.88,5.88,5.88,few clouds,84,2.75,2025-04-03 07:30:02
Bari,11.08,10.19,11.7,clear sky,81,1.34,2025-04-03 07:30:02
Lecce,8.94,8.94,11.59,clear sky,100,1.54,2025-04-03 07:30:02
Naples,10.67,9.51,11.34,clear sky,77,2.06,2025-04-03 07:30:02
Rome,9.95,8.58,11.89,scattered clouds,84,1.54,2025-04-03 07:30:02
Milan,8.16,6.82,10.52,clear sky,91,1.03,2025-04-03 07:30:02
Bologna,8.41,6.85,8.91,clear sky,85,1.54,2025-04-03 07:30:02
Florence,7.81,7.81,8.74,clear sky,81,1.75,2025-04-03 07:30:02
Genova,7.26,5.6,8.76,broken clouds,65,1.34,2025-04-03 07:30:02
Turin,4.33,3.7,7.15,overcast clouds,89,3.58,2025-04-03 07:30:02
Palermo,10.32,10.32,10.32,few clouds,85,0.31,2025-04-03 07:45:02
Catania,10.37,7.88,12.4,clear sky,84,2.06,2025-04-03 07:45:02
Cagliari,10.29,6.88,13.28,clear sky,77,2.06,2025-04-03 07:45:02
Sassari,4.88,4.88,4.88,few clouds,80,2.78,2025-04-03 07:45:02
Bari,11.41,11.19,12.25,clear sky,81,2.57,2025-04-03 07:45:02
Lecce,8.94,8.94,12.14,clear sky,100,1.54,2025-04-03 07:45:02
Naples,10.99,10.06,11.34,clear sky,77,1.03,2025-04-03 07:45:02
Rome,9.73,8.85,12.28,scattered clouds,85,1.54,2025-04-03 07:45:02
Milan,8.5,7.47,10.01,clear sky,90,0.51,2025-04-03 07:45:02
Bologna,8.83,6.85,9.46,clear sky,84,2.06,2025-04-03 07:45:02
Florence,8.55,7.81,12.34,few clouds,79,1.38,2025-04-03 07:45:02
Genova,7.66,5.6,9.18,broken clouds,66,1.79,2025-04-03 07:45:02
Turin,4.39,3.74,7.15,overcast clouds,89,2.96,2025-04-03 07:45:02
Palermo,11.43,11.43,11.43,few clouds,83,0.31,2025-04-03 08:00:02
Catania,10.68,7.88,12.4,clear sky,83,2.06,2025-04-03 08:00:02
Cagliari,10.38,6.88,13.28,clear sky,76,2.06,2025-04-03 08:00:02
Sassari,4.88,4.88,4.88,few clouds,80,2.78,2025-04-03 08:00:02
