City,Temperature_C,Temperature_Min_C,Temperature_Max_C,Weather_description,Humidity_%,Wind_speed_m/s,Time
Palermo,11.99,11.99,11.99,scattered clouds,91,1.56,2025-03-11 05:48:43
Catania,15.75,15.0,15.82,broken clouds,92,0.89,2025-03-11 05:48:43
Cagliari,10.68,8.88,12.17,few clouds,81,1.54,2025-03-11 05:48:43
Sassari,11.88,11.88,11.88,few clouds,89,3.33,2025-03-11 05:48:43
Bari,16.04,15.7,16.21,scattered clouds,81,5.66,2025-03-11 05:48:43
Lecce,15.94,14.92,15.94,scattered clouds,88,7.72,2025-03-11 05:48:43
Naples,14.88,13.66,15.34,scattered clouds,88,3.09,2025-03-11 05:48:43
Rome,11.05,10.07,12.14,fog,91,1.03,2025-03-11 05:48:43
Milan,8.84,7.86,9.13,light intensity drizzle,92,1.03,2025-03-11 05:48:43
Bologna,9.62,8.85,10.02,mist,95,1.03,2025-03-11 05:48:43
Florence,10.01,9.82,11.22,few clouds,89,1.03,2025-03-11 05:48:43
Genova,6.69,5.42,7.83,overcast clouds,95,0.68,2025-03-11 05:48:43
Turin,3.3,2.85,5.05,overcast clouds,93,1.23,2025-03-11 05:48:43
Palermo,11.99,11.99,11.99,broken clouds,91,0.45,2025-03-11 07:00:05
Catania,15.98,15.73,16.38,mist,94,5.14,2025-03-11 07:00:05
Cagliari,10.81,8.05,12.73,few clouds,81,1.54,2025-03-11 07:00:05
Sassari,12.88,12.88,12.88,few clouds,91,3.41,2025-03-11 07:00:05
Bari,16.04,15.7,16.21,scattered clouds,82,4.63,2025-03-11 07:00:05
Lecce,15.94,15.48,15.94,scattered clouds,88,9.77,2025-03-11 07:00:05
Naples,13.98,12.9,14.3,overcast clouds,85,1.34,2025-03-11 07:00:05
Rome,10.97,10.07,12.62,fog,90,1.03,2025-03-11 07:00:05
Milan,8.86,8.41,9.13,light intensity drizzle,92,1.03,2025-03-11 07:00:05
Bologna,9.35,8.85,9.78,mist,95,1.03,2025-03-11 07:00:05
Florence,10.01,9.82,11.22,few clouds,89,1.03,2025-03-11 07:00:05
Genova,6.54,5.42,7.25,overcast clouds,95,0.72,2025-03-11 07:00:05
Turin,3.3,2.85,5.05,overcast clouds,92,0.73,2025-03-11 07:00:05
Palermo,11.99,11.99,11.99,broken clouds,91,0.45,2025-03-11 07:15:02
Catania,15.98,15.73,16.38,mist,93,5.14,2025-03-11 07:15:02
Cagliari,11.06,9.88,12.73,few clouds,78,1.54,2025-03-11 07:15:02
Sassari,13.88,13.88,13.88,few clouds,91,3.41,2025-03-11 07:15:02
Bari,16.04,15.7,16.21,scattered clouds,81,5.36,2025-03-11 07:15:02
Lecce,15.48,15.48,15.48,broken clouds,85,11.27,2025-03-11 07:15:02
Naples,14.55,13.11,15.34,scattered clouds,86,2.06,2025-03-11 07:15:02
Rome,11.13,9.69,12.62,fog,97,1.03,2025-03-11 07:15:02
Milan,8.86,8.41,9.13,broken clouds,92,1.54,2025-03-11 07:15:02
Bologna,9.61,8.85,10.02,fog,94,1.54,2025-03-11 07:15:02
Florence,10.02,9.82,11.22,scattered clouds,92,1.03,2025-03-11 07:15:02
Genova,6.63,5.42,7.25,overcast clouds,95,0.72,2025-03-11 07:15:02
Turin,3.3,2.85,5.05,overcast clouds,92,0.73,2025-03-11 07:15:02
Palermo,12.54,10.45,12.54,overcast clouds,92,0.58,2025-03-11 07:30:03
Catania,15.99,15.73,16.59,mist,93,5.14,2025-03-11 07:30:03
Cagliari,11.06,9.88,12.73,overcast clouds,78,1.54,2025-03-11 07:30:03
Sassari,13.88,13.88,13.88,overcast clouds,88,2.92,2025-03-11 07:30:03
Bari,16.04,15.7,16.21,scattered clouds,81,4.12,2025-03-11 07:30:03
Lecce,15.94,15.48,15.94,scattered clouds,88,9.26,2025-03-11 07:30:03
Naples,14.53,13.11,15.42,scattered clouds,86,2.06,2025-03-11 07:30:03
Rome,10.38,9.83,11.8,fog,98,1.03,2025-03-11 07:30:03
Milan,8.86,8.41,9.13,broken clouds,92,1.54,2025-03-11 07:30:03
Bologna,9.68,8.85,10.34,fog,94,1.54,2025-03-11 07:30:03
Florence,10.36,9.27,11.72,scattered clouds,91,1.03,2025-03-11 07:30:03
Genova,6.76,5.42,7.76,overcast clouds,95,0.45,2025-03-11 07:30:03
Turin,3.3,2.85,5.05,overcast clouds,92,0.73,2025-03-11 07:30:03
Palermo,13.1,11.56,13.1,overcast clouds,92,0.58,2025-03-11 07:45:03
Catania,16.24,15.73,16.88,mist,91,5.66,2025-03-11 07:45:03
Cagliari,9.7,8.05,12.15,clear sky,90,1.54,2025-03-11 07:45:03
Sassari,13.88,13.27,13.88,overcast clouds,88,2.92,2025-03-11 07:45:03
Bari,16.2,15.7,16.7,scattered clouds,81,4.12,2025-03-11 07:45:03
Lecce,15.94,15.94,16.03,scattered clouds,88,9.26,2025-03-11 07:45:03
Naples,14.53,13.11,15.42,scattered clouds,86,1.03,2025-03-11 07:45:03
Rome,11.69,10.78,12.7,mist,97,2.06,2025-03-11 07:45:03
Milan,8.86,8.41,9.13,light intensity drizzle,94,1.54,2025-03-11 07:45:03
Bologna,9.86,8.85,10.34,mist,95,1.03,2025-03-11 07:45:03
Florence,10.44,9.82,11.72,scattered clouds,91,1.03,2025-03-11 07:45:03
Genova,6.74,5.42,7.81,overcast clouds,95,0.85,2025-03-11 07:45:03
Turin,3.31,2.85,5.05,overcast clouds,93,1.11,2025-03-11 07:45:03
Palermo,13.65,12.67,13.65,overcast clouds,91,0.58,2025-03-11 08:00:02
Catania,16.24,15.73,16.88,mist,91,5.66,2025-03-11 08:00:02
Cagliari,11.2,8.05,13.28,clear sky,81,1.54,2025-03-11 08:00:02
Sassari,13.88,13.88,14.38,overcast clouds,88,2.92,2025-03-11 08:00:02
Bari,16.36,15.7,16.7,scattered clouds,81,4.12,2025-03-11 08:00:02
Lecce,15.94,15.94,16.03,scattered clouds,88,9.26,2025-03-11 08:00:02
Naples,14.68,13.11,15.42,scattered clouds,86,1.03,2025-03-11 08:00:02
Rome,12.34,10.8,13.25,mist,97,2.06,2025-03-11 08:00:02
Milan,8.87,8.41,9.13,light intensity drizzle,94,1.54,2025-03-11 08:00:02
Bologna,10.32,9.8,10.58,scattered clouds,75,1.32,2025-03-11 08:00:02
Florence,10.41,9.82,11.22,scattered clouds,91,1.03,2025-03-11 08:00:02
Genova,6.74,5.42,7.81,overcast clouds,95,0.85,2025-03-11 08:00:02
Turin,3.75,3.4,5.05,overcast clouds,93,1.11,2025-03-11 08:00:02
Palermo,14.21,14.21,14.34,overcast clouds,91,0.58,2025-03-11 08:15:03
Catania,16.63,15.73,16.93,broken clouds,89,5.14,2025-03-11 08:15:03
Cagliari,13.84,12.71,13.84,overcast clouds,67,0.89,2025-03-11 08:15:03
Sassari,13.88,13.88,14.38,overcast clouds,88,2.92,2025-03-11 08:15:03
Bari,16.76,15.59,17.19,scattered clouds,81,6.26,2025-03-11 08:15:03
Lecce,16.03,16.03,16.03,overcast clouds,85,11.11,2025-03-11 08:15:03
Naples,14.69,14.02,15.89,scattered clouds,83,1.79,2025-03-11 08:15:03
Rome,12.67,11.36,13.25,overcast clouds,95,0.96,2025-03-11 08:15:03
Milan,8.99,8.41,9.45,broken clouds,94,1.54,2025-03-11 08:15:03
Bologna,10.38,9.8,10.59,mist,94,0.51,2025-03-11 08:15:03
Florence,11.07,10.45,11.78,scattered clouds,91,1.03,2025-03-11 08:15:03
Genova,6.67,5.42,7.81,overcast clouds,95,0.85,2025-03-11 08:15:03
Turin,3.77,3.4,5.4,overcast clouds,93,1.11,2025-03-11 08:15:03
Palermo,14.21,14.21,14.89,overcast clouds,89,1.82,2025-03-11 08:30:03
Catania,16.62,15.73,16.93,mist,89,5.14,2025-03-11 08:30:03
Cagliari,11.96,9.05,13.84,clear sky,81,1.54,2025-03-11 08:30:03
Sassari,13.88,13.88,13.88,overcast clouds,79,4.38,2025-03-11 08:30:03
Bari,17.13,16.25,17.32,scattered clouds,79,6.17,2025-03-11 08:30:03
Lecce,15.94,15.48,15.94,scattered clouds,88,10.8,2025-03-11 08:30:03
Naples,14.88,14.51,15.97,scattered clouds,83,0.51,2025-03-11 08:30:03
Rome,12.0,11.06,13.81,clear sky,96,0.51,2025-03-11 08:30:03
Milan,9.12,8.41,9.65,broken clouds,94,1.54,2025-03-11 08:30:03
Bologna,10.38,9.8,10.89,mist,93,0.51,2025-03-11 08:30:03
Florence,11.34,10.45,12.52,scattered clouds,90,1.03,2025-03-11 08:30:03
Genova,6.78,5.42,7.81,overcast clouds,95,0.85,2025-03-11 08:30:03
Turin,4.21,3.74,5.55,overcast clouds,95,1.11,2025-03-11 08:30:03
Palermo,14.76,14.76,15.45,overcast clouds,87,1.82,2025-03-11 08:45:03
Catania,16.82,15.73,16.93,mist,89,5.66,2025-03-11 08:45:03
Cagliari,12.33,10.88,14.39,clear sky,81,1.34,2025-03-11 08:45:03
Sassari,13.88,13.88,16.6,overcast clouds,79,4.38,2025-03-11 08:45:03
Bari,16.95,16.14,17.19,few clouds,80,6.17,2025-03-11 08:45:03
Lecce,15.94,15.48,15.94,scattered clouds,88,10.8,2025-03-11 08:45:03
Naples,15.02,14.58,15.97,scattered clouds,85,1.34,2025-03-11 08:45:03
Rome,12.06,11.83,14.36,clear sky,95,0.0,2025-03-11 08:45:03
Milan,9.46,8.42,9.82,broken clouds,92,1.54,2025-03-11 08:45:03
Bologna,11.17,10.36,11.81,few clouds,88,1.03,2025-03-11 08:45:03
Florence,12.08,10.45,13.08,broken clouds,88,0.51,2025-03-11 08:45:03
Genova,6.91,5.42,7.81,light rain,95,0.67,2025-03-11 08:45:03
Turin,4.12,3.74,5.55,overcast clouds,93,0.39,2025-03-11 08:45:03
Palermo,15.87,15.87,16.56,overcast clouds,85,1.82,2025-03-11 09:00:02
Catania,17.02,16.0,17.49,mist,88,5.66,2025-03-11 09:00:02
Cagliari,12.57,10.88,14.95,clear sky,80,1.79,2025-03-11 09:00:02
Sassari,13.88,13.88,16.04,overcast clouds,79,4.38,2025-03-11 09:00:02
Bari,16.92,15.59,17.19,few clouds,80,6.17,2025-03-11 09:00:02
Lecce,15.94,15.94,16.03,scattered clouds,88,10.8,2025-03-11 09:00:02
Naples,15.16,14.58,16.53,scattered clouds,85,1.34,2025-03-11 09:00:02
Rome,12.1,11.83,14.92,clear sky,95,0.0,2025-03-11 09:00:02
Milan,9.51,8.97,9.82,broken clouds,92,1.54,2025-03-11 09:00:02
Bologna,11.61,10.85,11.81,few clouds,88,1.03,2025-03-11 09:00:02
Florence,12.09,10.94,12.52,broken clouds,88,0.51,2025-03-11 09:00:02
Genova,7.01,5.42,7.81,light rain,95,0.67,2025-03-11 09:00:02
Turin,4.63,4.29,6.51,overcast clouds,93,0.39,2025-03-11 09:00:02
Palermo,16.43,16.43,16.56,overcast clouds,79,1.82,2025-03-11 09:15:45
Catania,17.29,16.85,17.49,broken clouds,85,5.66,2025-03-11 09:15:45
Cagliari,14.95,14.93,14.95,overcast clouds,65,1.79,2025-03-11 09:15:45
Sassari,13.88,13.88,16.04,overcast clouds,79,4.38,2025-03-11 09:15:45
