City,Temperature_C,Temperature_Min_C,Temperature_Max_C,Weather_description,Humidity_%,Wind_speed_m/s,Time
Palermo,8.1,8.1,8.1,overcast clouds,81,1.58,2025-01-29 07:28:45
Catania,13.16,12.07,14.15,scattered clouds,78,0.89,2025-01-29 07:28:45
Cagliari,9.37,8.88,9.95,few clouds,79,3.09,2025-01-29 07:28:45
Sassari,10.88,9.93,10.88,broken clouds,89,2.7,2025-01-29 07:28:45
Bari,10.92,10.66,11.7,scattered clouds,60,4.63,2025-01-29 07:28:45
Lecce,9.94,9.94,11.03,mist,93,1.54,2025-01-29 07:28:45
Naples,9.46,8.34,11.25,few clouds,83,1.03,2025-01-29 07:28:45
Rome,10.24,8.94,10.69,clear sky,76,2.57,2025-01-29 07:28:45
Milan,3.26,1.82,4.45,fog,92,0.51,2025-01-29 07:28:45
Bologna,11.25,9.85,11.25,clear sky,67,2.06,2025-01-29 07:28:45
Florence,7.83,7.61,8.79,few clouds,92,3.6,2025-01-29 07:28:45
Genova,5.59,3.38,6.81,broken clouds,76,1.61,2025-01-29 07:28:45
Turin,0.86,-1.55,2.06,clear sky,81,4.99,2025-01-29 07:28:45
Palermo,8.1,8.1,8.1,overcast clouds,81,0.97,2025-01-29 07:30:03
Catania,13.14,12.07,14.15,scattered clouds,78,0.68,2025-01-29 07:30:03
Cagliari,9.37,8.88,9.95,few clouds,79,3.09,2025-01-29 07:30:03
Sassari,10.88,9.93,10.88,broken clouds,89,2.7,2025-01-29 07:30:03
Bari,10.92,10.66,11.7,scattered clouds,60,4.63,2025-01-29 07:30:03
Lecce,9.94,9.94,11.03,mist,93,1.54,2025-01-29 07:30:03
Naples,9.46,8.34,11.25,few clouds,83,1.03,2025-01-29 07:30:03
Rome,10.24,8.94,10.69,clear sky,76,2.57,2025-01-29 07:30:03
Milan,3.26,1.82,4.45,fog,93,0.51,2025-01-29 07:30:03
Bologna,11.25,9.85,11.25,clear sky,67,2.06,2025-01-29 07:30:03
