City,Temperature_C,Temperature_Min_C,Temperature_Max_C,Weather_description,Humidity_%,Wind_speed_m/s,Time
Palermo,8.1,8.1,8.1,broken clouds,83,2.57,2025-02-12 08:00:05
Catania,9.88,7.0,10.82,few clouds,87,2.68,2025-02-12 08:00:05
Cagliari,14.09,13.88,14.39,broken clouds,81,2.57,2025-02-12 08:00:05
Sassari,4.88,4.88,4.88,clear sky,89,2.82,2025-02-12 08:00:05
Bari,8.37,7.88,9.59,overcast clouds,86,2.52,2025-02-12 08:00:05
Lecce,7.94,7.94,7.94,few clouds,93,2.06,2025-02-12 08:00:05
Naples,8.64,8.34,9.22,mist,88,0.51,2025-02-12 08:00:05
Rome,8.47,7.74,10.3,clear sky,87,2.57,2025-02-12 08:00:05
Milan,7.79,7.03,8.06,light intensity drizzle,95,2.06,2025-02-12 08:00:05
Bologna,7.88,7.36,8.27,fog,96,1.54,2025-02-12 08:00:05
Florence,8.88,8.72,9.5,light rain,93,0.51,2025-02-12 08:00:05
Genova,5.59,4.31,6.4,overcast clouds,90,1.34,2025-02-12 08:00:05
Turin,2.81,2.19,4.44,overcast clouds,94,0.61,2025-02-12 08:00:05
