City,Temperature_C,Temperature_Min_C,Temperature_Max_C,Weather_description,Humidity_%,Wind_speed_m/s,Time
Palermo,8.1,8.1,8.1,broken clouds,83,2.57,2025-02-12 08:00:05
Catania,9.88,7.0,10.82,few clouds,87,2.68,2025-02-12 08:00:05
Cagliari,14.09,13.88,14.39,broken clouds,81,2.57,2025-02-12 08:00:05
Sassari,4.88,4.88,4.88,clear sky,89,2.82,2025-02-12 08:00:05
Bari,8.37,7.88,9.59,overcast clouds,86,2.52,2025-02-12 08:00:05
Lecce,7.94,7.94,7.94,few clouds,93,2.06,2025-02-12 08:00:05
Naples,8.64,8.34,9.22,mist,88,0.51,2025-02-12 08:00:05
Rome,8.47,7.74,10.3,clear sky,87,2.57,2025-02-12 08:00:05
Milan,7.79,7.03,8.06,light intensity drizzle,95,2.06,2025-02-12 08:00:05
Bologna,7.88,7.36,8.27,fog,96,1.54,2025-02-12 08:00:05
Florence,8.88,8.72,9.5,light rain,93,0.51,2025-02-12 08:00:05
Genova,5.59,4.31,6.4,overcast clouds,90,1.34,2025-02-12 08:00:05
Turin,2.81,2.19,4.44,overcast clouds,94,0.61,2025-02-12 08:00:05
Palermo,8.1,8.1,8.1,broken clouds,83,2.57,2025-02-12 08:15:03
Catania,10.02,9.29,10.82,overcast clouds,87,2.68,2025-02-12 08:15:03
Cagliari,14.09,13.88,14.39,broken clouds,80,2.57,2025-02-12 08:15:03
Sassari,4.88,4.88,4.88,clear sky,89,2.82,2025-02-12 08:15:03
Bari,8.63,8.43,10.14,overcast clouds,85,2.52,2025-02-12 08:15:03
Lecce,7.94,7.94,8.81,few clouds,100,2.06,2025-02-12 08:15:03
Naples,9.45,9.34,10.33,scattered clouds,85,1.03,2025-02-12 08:15:03
Rome,8.43,6.91,10.3,clear sky,88,1.03,2025-02-12 08:15:03
Milan,7.92,7.03,8.26,mist,93,2.06,2025-02-12 08:15:03
Bologna,7.88,7.36,8.27,fog,96,1.54,2025-02-12 08:15:03
Florence,8.88,8.72,9.5,light rain,93,1.03,2025-02-12 08:15:03
Genova,5.52,4.8,6.4,overcast clouds,90,0.89,2025-02-12 08:15:03
Turin,2.81,2.19,4.44,overcast clouds,94,0.61,2025-02-12 08:15:03
Palermo,8.65,4.89,8.65,broken clouds,84,2.57,2025-02-12 08:30:03
Catania,10.59,9.75,11.59,broken clouds,86,2.24,2025-02-12 08:30:03
Cagliari,14.09,13.88,14.39,broken clouds,80,2.57,2025-02-12 08:30:03
Sassari,4.88,4.88,4.88,clear sky,80,2.44,2025-02-12 08:30:03
Bari,8.64,7.97,10.14,overcast clouds,83,2.52,2025-02-12 08:30:03
Lecce,7.94,7.94,9.92,few clouds,100,2.06,2025-02-12 08:30:03
Naples,9.18,8.4,10.33,scattered clouds,82,1.03,2025-02-12 08:30:03
Rome,8.43,6.91,10.47,clear sky,89,1.03,2025-02-12 08:30:03
Milan,7.91,7.03,8.26,light intensity drizzle,95,2.06,2025-02-12 08:30:03
Bologna,7.88,7.36,8.27,fog,96,1.54,2025-02-12 08:30:03
Florence,8.88,8.72,9.5,broken clouds,93,1.03,2025-02-12 08:30:03
Genova,5.71,4.8,6.65,overcast clouds,89,0.88,2025-02-12 08:30:03
Turin,2.95,2.69,4.44,overcast clouds,95,0.61,2025-02-12 08:30:03
Palermo,8.65,8.65,8.65,scattered clouds,83,2.49,2025-02-12 08:45:03
Catania,10.75,9.75,12.15,broken clouds,86,2.24,2025-02-12 08:45:03
Cagliari,14.67,14.39,14.93,broken clouds,73,3.6,2025-02-12 08:45:03
Sassari,4.88,4.88,4.88,clear sky,80,2.44,2025-02-12 08:45:03
Bari,9.48,8.99,10.7,overcast clouds,84,0.89,2025-02-12 08:45:03
Lecce,7.94,7.94,10.48,few clouds,100,2.06,2025-02-12 08:45:03
Naples,9.51,8.95,11.44,scattered clouds,84,1.03,2025-02-12 08:45:03
Rome,8.87,8.29,10.47,clear sky,88,1.03,2025-02-12 08:45:03
Milan,7.79,7.59,8.06,light intensity drizzle,95,2.57,2025-02-12 08:45:03
Bologna,7.88,7.36,8.67,fog,96,1.03,2025-02-12 08:45:03
Florence,8.89,8.72,10.05,mist,93,1.03,2025-02-12 08:45:03
Genova,5.55,4.8,6.65,overcast clouds,90,0.88,2025-02-12 08:45:03
Turin,2.99,2.69,4.84,overcast clouds,95,1.0,2025-02-12 08:45:03
Palermo,9.21,9.21,9.21,scattered clouds,82,2.49,2025-02-12 09:00:03
Catania,11.13,9.75,11.93,broken clouds,86,1.79,2025-02-12 09:00:03
Cagliari,14.91,14.88,14.95,broken clouds,73,3.6,2025-02-12 09:00:03
Sassari,4.88,4.88,4.88,clear sky,80,2.44,2025-02-12 09:00:03
Bari,9.48,8.99,11.25,overcast clouds,83,1.79,2025-02-12 09:00:03
Lecce,7.94,7.94,11.59,few clouds,100,2.06,2025-02-12 09:00:03
Naples,9.64,9.34,10.69,scattered clouds,87,1.03,2025-02-12 09:00:03
Rome,8.95,8.29,10.79,clear sky,88,1.03,2025-02-12 09:00:03
Milan,7.92,7.59,8.26,light intensity drizzle,95,2.57,2025-02-12 09:00:03
Bologna,7.88,7.36,8.67,fog,96,1.03,2025-02-12 09:00:03
Florence,9.23,8.72,10.3,mist,92,2.68,2025-02-12 09:00:03
Genova,5.95,4.8,7.27,overcast clouds,89,0.88,2025-02-12 09:00:03
Turin,3.09,2.69,5.4,overcast clouds,95,1.0,2025-02-12 09:00:03
