City,Temperature_C,Temperature_Min_C,Temperature_Max_C,Weather_description,Humidity_%,Wind_speed_m/s,Time
Palermo,13.65,12.67,13.65,overcast clouds,77,2.83,2025-03-13 09:23:50
Catania,16.32,13.64,17.4,clear sky,65,5.14,2025-03-13 09:23:50
Cagliari,16.5,15.05,17.17,few clouds,68,3.09,2025-03-13 09:23:50
Sassari,12.88,12.88,13.82,broken clouds,84,4.53,2025-03-13 09:23:50
Bari,15.87,15.66,16.19,clear sky,65,3.09,2025-03-13 09:23:50
Lecce,16.94,16.94,16.94,clear sky,67,4.63,2025-03-13 09:23:50
Naples,15.42,14.22,16.53,scattered clouds,83,4.63,2025-03-13 09:23:50
Rome,13.94,12.62,14.58,few clouds,80,4.12,2025-03-13 09:23:50
Milan,9.94,9.53,10.52,broken clouds,94,1.54,2025-03-13 09:23:50
Bologna,11.45,10.85,12.56,clear sky,91,2.06,2025-03-13 09:23:50
Florence,12.32,10.3,13.47,scattered clouds,82,4.12,2025-03-13 09:23:50
Genova,9.24,7.09,9.98,overcast clouds,80,0.45,2025-03-13 09:23:50
Turin,5.79,3.51,7.21,broken clouds,83,0.51,2025-03-13 09:23:50
Palermo,13.65,12.67,13.65,overcast clouds,77,2.83,2025-03-13 09:30:06
Catania,14.88,14.0,14.88,clear sky,72,5.14,2025-03-13 09:30:06
Cagliari,16.5,15.05,17.17,few clouds,68,3.09,2025-03-13 09:30:06
Sassari,12.88,12.88,13.82,broken clouds,70,5.38,2025-03-13 09:30:06
Bari,15.87,15.66,16.19,clear sky,65,3.09,2025-03-13 09:30:06
Lecce,16.94,16.94,16.94,clear sky,67,4.63,2025-03-13 09:30:06
Naples,15.42,14.22,16.53,scattered clouds,83,4.63,2025-03-13 09:30:06
Rome,13.93,12.52,14.58,few clouds,80,4.12,2025-03-13 09:30:06
Milan,9.94,9.53,10.54,broken clouds,94,1.54,2025-03-13 09:30:06
Bologna,13.02,12.56,13.35,clear sky,84,0.45,2025-03-13 09:30:06
Florence,12.98,10.45,13.47,scattered clouds,76,4.12,2025-03-13 09:30:06
Genova,9.2,8.48,10.05,overcast clouds,81,0.89,2025-03-13 09:30:06
Turin,6.07,4.07,7.07,broken clouds,82,0.51,2025-03-13 09:30:06
Palermo,13.65,11.56,13.65,overcast clouds,78,3.22,2025-03-13 09:45:02
